timestamp_utc,number,name,latitude,longitude,status,bikes,electrical,mechanical,stands,capacity,last_update
2026-07-13T08:22:37Z,6021,6021 - GARIBALDI,45.770664,4.849946,OPEN,2,1,1,8,11,2026-07-13T08:19:13Z
2026-07-13T08:22:37Z,5053,5053 - SAINT-JUST,45.75597,4.818904,OPEN,0,0,0,18,18,2026-07-13T08:16:44Z
2026-07-13T08:22:37Z,8058,8058 - LONGEFER / KRUGER,45.738671,4.878117,OPEN,14,8,6,2,16,2026-07-13T08:19:58Z
2026-07-13T08:22:37Z,2037,2037 - PLACE DES ARCHIVES,45.747956,4.824898,OPEN,1,0,1,38,40,2026-07-13T08:18:25Z
2026-07-13T08:22:37Z,14004,14004 - BRON - MAIRIE,45.73403,4.908777,OPEN,9,8,1,14,23,2026-07-13T08:21:29Z
2026-07-13T08:22:37Z,2026,2026 - RÉPUBLIQUE / PAUFIQUE,45.759379,4.835414,OPEN,15,13,2,13,28,2026-07-13T08:18:27Z
2026-07-13T08:22:37Z,22001,22001 - STE FOY - PLACE ST LUC,45.749588,4.800967,OPEN,0,0,0,15,15,2026-07-13T08:19:30Z
2026-07-13T08:22:37Z,9003,9003 - PLACE VALMY,45.775679,4.805314,OPEN,9,1,8,7,16,2026-07-13T08:17:22Z
2026-07-13T08:22:37Z,2038,2038 - REMPARTS D'AINAY,45.753077,4.829706,OPEN,8,1,7,14,24,2026-07-13T08:18:15Z
2026-07-13T08:22:37Z,8054,8054 - MARTINIÈRE / MONPLAISIR,45.740865,4.868244,OPEN,9,1,8,11,20,2026-07-13T08:21:31Z
2026-07-13T08:22:37Z,7039,7039 - GUILLOTIÈRE / MADELEINE,45.751073,4.848018,OPEN,7,1,6,3,10,2026-07-13T08:17:20Z
2026-07-13T08:22:37Z,2012,2012 - GAILLETON,45.753455,4.833367,OPEN,4,2,2,12,16,2026-07-13T08:20:07Z
2026-07-13T08:22:37Z,7006,7006 - GERLAND,45.727494,4.831145,OPEN,27,17,10,13,40,2026-07-13T08:19:56Z
2026-07-13T08:22:37Z,8023,8023 - MERMOZ / PINEL,45.730788,4.887513,OPEN,13,11,2,10,23,2026-07-13T08:21:26Z
2026-07-13T08:22:37Z,8011,8011 - PLACE LEBRET,45.735653,4.853042,OPEN,0,0,0,12,14,2026-07-13T08:20:25Z
2026-07-13T08:22:37Z,1006,1006 - SUBSISTANCES,45.767912,4.819872,OPEN,1,0,1,21,22,2026-07-13T08:18:22Z
2026-07-13T08:22:37Z,4002,4002 - MAIRIE DU 4E,45.774193,4.827743,OPEN,1,1,0,17,20,2026-07-13T08:20:33Z
2026-07-13T08:22:37Z,20003,20003 - OULLINS - PONT BLANC,45.720156,4.798426,OPEN,14,12,2,9,24,2026-07-13T08:17:03Z
2026-07-13T08:22:37Z,3081,3081 - PART-DIEU / FRANCFORT,45.760689,4.863069,OPEN,7,3,4,20,28,2026-07-13T08:18:20Z
2026-07-13T08:22:37Z,4007,4007 - PLACE FLAMMARION,45.779332,4.820259,OPEN,0,0,0,18,18,2026-07-13T08:18:19Z
2026-07-13T08:22:37Z,30002,30002 - RILLIEUX - LOUP PENDU,45.8167509779391,4.88871930286496,OPEN,12,12,0,8,20,2026-07-13T08:20:05Z
2026-07-13T08:22:37Z,3011,3011 - PART-DIEU / CUIRASSIERS,45.75991,4.857555,OPEN,23,16,7,16,40,2026-07-13T08:21:27Z
2026-07-13T08:22:37Z,10092,10092 - MONTGOLFIER / CHATEAU GAILLARD,45.771561,4.890378,OPEN,2,1,1,15,17,2026-07-13T08:18:11Z
2026-07-13T08:22:37Z,16011,16011 - VENISSIEUX - FARGE / CLOCHETTES,45.697423,4.858227,OPEN,11,9,2,1,12,2026-07-13T08:18:29Z
2026-07-13T08:22:37Z,10024,10024 - MAISONS NEUVES,45.755988,4.877409,OPEN,2,2,0,20,23,2026-07-13T08:17:57Z
2026-07-13T08:22:37Z,1034,1034 - CARMÉLITES,45.770006,4.829274,OPEN,0,0,0,15,16,2026-07-13T08:19:48Z
2026-07-13T08:22:37Z,3013,3013 - PLACE ANTOINETTE,45.753683,4.889285,OPEN,6,1,5,14,21,2026-07-13T08:20:58Z
2026-07-13T08:22:37Z,10008,10008 - SALENGRO / VAILLANT,45.778385,4.879673,OPEN,0,0,0,23,24,2026-07-13T08:18:25Z
2026-07-13T08:22:37Z,3083,3083 - LES HALLES,45.761595,4.850477,OPEN,5,4,1,11,18,2026-07-13T08:16:46Z
2026-07-13T08:22:37Z,10125,10125 - VERDUN / PETIT ROULET,45.7793035670002,4.89868284276788,OPEN,1,1,0,14,15,2026-07-13T08:18:46Z
2026-07-13T08:22:37Z,6024,6024 - TRONCHET / ANATOLE FRANCE,45.770743,4.856713,OPEN,6,4,2,3,10,2026-07-13T08:18:54Z
2026-07-13T08:22:37Z,8006,8006 - PLACE DU 8 MAI 1945,45.729771,4.868157,OPEN,20,4,16,0,20,2026-07-13T08:21:22Z
2026-07-13T08:22:37Z,23001,23001 - TASSIN - TUILERIES,45.763244,4.778641,OPEN,4,3,1,8,12,2026-07-13T08:16:47Z
2026-07-13T08:22:37Z,9052,9052 - BALMONT,45.789194,4.799308,OPEN,0,0,0,11,12,2026-07-13T08:18:31Z
2026-07-13T08:22:37Z,12002,12002 - VAULX - POUDRETTE / LA SOIE,45.76438,4.919276,OPEN,17,15,2,1,20,2026-07-13T08:17:53Z
2026-07-13T08:22:37Z,5056,5056 - GARDE / AQUEDUCS,45.7595193684889,4.79115229365725,OPEN,10,10,0,5,15,2026-07-13T08:20:20Z
2026-07-13T08:22:37Z,6033,6033 - CRÉQUI / LAFAYETTE,45.763755,4.847082,OPEN,11,7,4,2,15,2026-07-13T08:17:19Z
2026-07-13T08:22:37Z,16006,16006 - VENISSIEUX - COBLOD,45.697014,4.896127,OPEN,9,9,0,6,15,2026-07-13T08:21:36Z
2026-07-13T08:22:37Z,10012,10012 - ZOLA / FRANCE,45.767957,4.887232,OPEN,14,1,13,0,16,2026-07-13T08:17:36Z
2026-07-13T08:22:37Z,10124,10124 - SALENGRO / YVONNE,45.7772936957677,4.87675865740856,OPEN,4,0,4,19,24,2026-07-13T08:18:09Z
2026-07-13T08:22:37Z,10123,10123 - SAINT JEAN CANAL,45.776646,4.902366,OPEN,12,8,4,0,12,2026-07-13T08:16:45Z
2026-07-13T08:22:37Z,4022,4022 - PLACE DE LA CROIX-ROUSSE,45.77608,4.832543,OPEN,1,1,0,19,21,2026-07-13T08:20:37Z
2026-07-13T08:22:37Z,10047,10047 - LHERMINIER / PRESSENSÉ,45.771143,4.88504,OPEN,3,1,2,12,15,2026-07-13T08:14:17Z
2026-07-13T08:22:37Z,7021,7021 - CHALLEMEL LACOUR / GERLAND,45.729791,4.838138,OPEN,6,5,1,5,12,2026-07-13T08:18:34Z
2026-07-13T08:22:37Z,3004,3004 - BOURSE DU TRAVAIL,45.759648,4.848139,OPEN,9,1,8,14,27,2026-07-13T08:21:12Z
2026-07-13T08:22:37Z,3016,3016 - LIBERTÉ / PART-DIEU,45.759361,4.842308,OPEN,1,1,0,7,9,2026-07-13T08:21:32Z
2026-07-13T08:22:37Z,2003,2003 - PLACE AMPÈRE,45.753049,4.828297,OPEN,1,0,1,6,10,2026-07-13T08:21:22Z
2026-07-13T08:22:37Z,7017,7017 - BEAUVOIR / MAROT,45.73674,4.834106,OPEN,8,4,4,11,20,2026-07-13T08:21:24Z
2026-07-13T08:22:37Z,19001,19001 - ST GENIS L. - MÉDIATHÈQUE,45.697863,4.794658,OPEN,9,9,0,3,12,2026-07-13T08:19:34Z
2026-07-13T08:22:37Z,6003,6003 - AVENUE VERGUIN,45.772846,4.856274,OPEN,20,5,15,0,20,2026-07-13T08:18:41Z
